	English	Proto-form	Under	Type
ciqume-		ciqum0(t)-		base
ciquq		ciquq		base
ciri-		ci3i-		base
cirlake-		ci3l03-		base
cirliqe-		ci3@03-		base
cirmik		ci3mi3		base
cirmiute-		ci3mi3		base
ciruneq		ci3un0q		base
ciruq		ciquq		base
citugmig-		citu!mi!-	cituk	base
ciu-		civu-		base
ciug-		civ(v)u!-		base
civug-		civ(v)u!-		base
ciulegte-		civul0!-	civu-	base
ciuliaq		civuli3a3	civu-	base
ciun		ci!un		base
ciuneq		civun03	civu-	base
ciunir-		civunni3-	civu-	base
ciuqliq		civuqli3	civu-	base
ciur-		civvu3-		base
ciutaiq		ci(!)utaiq	ci!un	base
ciutequluk		ci!ut0qu3	ci!un	base
ciuvak		n0vyuva!		base
civte-		civt0-		base
civu-		civu-		base
civuaq		civu(C)a3	civu-	base
civuura-		civuu(C)u3a-		base
cuagte-		cu!a!-		base
cuak		ci@uva!		base
cucu-		tucu-		base
cugg’eq		cu!du!		base
cuignilnguq		cuvi&nit-		base
cuk		i&u!		base
cuka		cuka3		base
cuka-		cuk(k)a-		base
cukaite-		cuk(k)a&it-	cuk(k)a-	base
cukiq		cuki(3)		base
cukilanaq		cuki(3)		base
cukite-		cukkit-	cuki(3)	base
cukluuk		cukluk		base
culugpauq		culu!pa(C)u!	culu!	base
culuk		culu!		base
culu’ugte-		culu!		base
culurte-		culu3t0-		base
cumerte-		cum03(t0)-		base
cumilngu-		cumil&u-	cumi!-	base
cuminge-		cumi&0-	cumi&0-	base
cumite-		cumi!-		base
cimigte-		cumi!-		base
cunawa		cuna-uvva		base
cungagliq		cu&a!-	cu&a(3)	base
cungak		cu&a(3)		base
cungaqcuarnaq		cu&aqcua3(naq)	cu&a(3)	base
cungakcuarnaq		cu&aqcua3(naq)	cu&a(3)	base
cungarteqe-		cu&a3-		base
cungavseq		cu&a(3)		base
cungasveq		cu&a(3)		base
cungite-		cu&it0-		base
cung’uq		cu&&u3		base
cupe-		cup0-¹		base
cupigte-		cupi!-		base
cupluq		cuplu!		base
cupuraq		cupu!aq		base
